offer_id,image_1_primary,image_2_design,image_3_specs,image_4_rooms,image_5_texture
ЦБ-00032195,images/sku/cb-00032195/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032194,images/sku/cb-00032194/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032193,images/sku/cb-00032193/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032162,images/sku/cb-00032162/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032212,images/sku/cb-00032212/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032211,images/sku/cb-00032211/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032210,images/sku/cb-00032210/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032209,images/sku/cb-00032209/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032208,images/sku/cb-00032208/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032207,images/sku/cb-00032207/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032206,images/sku/cb-00032206/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032205,images/sku/cb-00032205/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032204,images/sku/cb-00032204/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032203,images/sku/cb-00032203/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032161,images/sku/cb-00032161/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
